DATA,LABEL,PAGEID
INVOICE,R,1
FIPS,R,1
vendor_name,R,1
Total,R,1
CAJUN,R,1
Gross,R,1
Routing,R,1
Account,R,1
Date:,R,1
Amount:,R,1
AMOUNT,R,2
LESS,R,2
ORIGINAL,R,2
DATE,R,2
ACGOUNI,R,2
START,R,2
Number,R,2
PO,R,2
PLEASE,R,2
Lease,R,2
lavoice,R,2
Customer,R,2
Due,R,2
Subtotal,R,2
Order,R,2
Purchase,R,2
EMPLOYEE,R,3
PAY,R,3
SUB,W,3
Week,W,3
Number:,W,3
Change,W,3
Work,W,3
Obligated,W,3
OF,W,3
CONTRACT,W,3
DDE,W,3
DUBE,W,3
Due:,W,3
Net,W,3
THIS,W,3
TOTAL:,W,3
Ending,W,3
Orders,W,3
No.,W,3
Completed,W,3
RETAINAGE,W,4
RETAINED,W,4
by,W,4
after,W,4
Payments,W,4
INVOICE,R,4
FIPS,R,4
vendor_name,R,4
Total,R,4
CAJUN,R,4
Gross,R,4
Routing,R,4
Account,R,4
Date:,R,4
Amount:,R,4
AMOUNT,R,4
LESS,R,4
ORIGINAL,R,4
DATE,R,4
ACGOUNI,R,4
START,R,4
Number,R,4
PO,R,4
PLEASE,R,4
Lease,R,4
lavoice,R,4
Customer,R,4
Due,R,4
Subtotal,R,4
Order,R,4
Purchase,R,4
EMPLOYEE,R,4
PAY,R,4
SUB,W,4
Week,W,4
Number:,W,4
Change,W,4
Work,W,4
Obligated,W,4
OF,W,4
CONTRACT,W,4
DDE,W,4
DUBE,W,4
Due:,W,4
Net,W,4
THIS,W,4
TOTAL:,W,4
Ending,W,4
Orders,W,4
No.,W,4
Completed,W,4
RETAINAGE,W,4
RETAINED,W,4
by,W,4
after,W,4
Payments,W,4
INVOICE,R,4
FIPS,R,4
vendor_name,R,4
Total,R,4
CAJUN,R,4
Gross,R,4
Routing,R,4
Account,R,4
Date:,R,4
Amount:,R,4
AMOUNT,R,4
LESS,R,4
ORIGINAL,R,4
DATE,R,5
ACGOUNI,R,5
START,R,5
Number,R,5
PO,R,5
PLEASE,R,5
Lease,R,5
lavoice,R,5
Customer,R,5
Due,R,5
Subtotal,R,5
Order,R,5
Purchase,R,5
EMPLOYEE,R,5
PAY,R,5
SUB,W,5
Week,W,6
Number:,W,6
Change,W,6
Work,W,6
Obligated,W,6
OF,W,6
CONTRACT,W,6
DDE,W,6
DUBE,W,6
Due:,W,6
Net,W,6
THIS,W,6
TOTAL:,W,6
Ending,W,6
Orders,W,6
No.,W,6
Completed,W,6
RETAINAGE,W,6
RETAINED,W,6
by,W,6
after,W,6
Payments,W,6
INVOICE,R,6
FIPS,R,7
vendor_name,R,7
Total,R,7
CAJUN,R,7
Gross,R,7
Routing,R,7
Account,R,7
Date:,R,7
Amount:,R,7
AMOUNT,R,7
LESS,R,7
ORIGINAL,R,7
DATE,R,7
ACGOUNI,R,7
START,R,7
Number,R,7
PO,R,7
PLEASE,R,7
Lease,R,7
lavoice,R,7
Customer,R,7
Due,R,7
Subtotal,R,7
Order,R,7
Purchase,R,7
EMPLOYEE,R,7
PAY,R,7
SUB,W,7
Week,W,7
Number:,W,7
Change,W,7
Work,W,7
Obligated,W,7
OF,W,7
CONTRACT,W,7
DDE,W,7
DUBE,W,7
Due:,W,7
Net,W,7
THIS,W,7
TOTAL:,W,7
Ending,W,7
Orders,W,7
No.,W,7
Completed,W,7
RETAINAGE,W,7
RETAINED,W,7
by,W,7
after,W,7
Payments,W,7
INVOICE,R,7
FIPS,R,7
vendor_name,R,7
Total,R,7
CAJUN,R,7
Gross,R,7
Routing,R,7
Account,R,7
Date:,R,7
Amount:,R,7
AMOUNT,R,7
LESS,R,7
ORIGINAL,R,7
DATE,R,7
ACGOUNI,R,7
START,R,7
Number,R,7
PO,R,7
PLEASE,R,7
Lease,R,7
lavoice,R,7
Customer,R,7
Due,R,7
Subtotal,R,7
Order,R,7
Purchase,R,7
